group_name,folder_name,folder_value
poke-group,OC's,38955893
pokemon-fan-universe,1st Generation Pokemon,36900506
pokemon-fans4ever,1st Generation,49635793
pokemonforeveryone,Kanto 2,49740228
pokemonfans,Featured,40555370
pokemonmasters,gen 1 Pokemon 2 OPEN,49905107
draw-em-all,Submissions Folder,40566103
pokemon-fanbase,Pokesonas and OCs,39338324
pokemon-lovers4life,Eeveelutions,39010015
pokemoninstitution,Digital Art 2,46103753
pokemon-world-unite,Comics,39409645
pokemonaddicts,2nd Gen - Johto,58471012
pokemonnowandforever,Generation 1 - New,62336427
hq,UNUSED,-1
give-llamageta-llama,UNUSED,-1
contest-hq,UNUSED,-1
clubforcontests,UNUSED,-1
weekly-contest-group,UNUSED,-1
anothercontestgroup,UNUSED,-1
giveallamagetallama,UNUSED,-1
unknownwriters,UNUSED,-1
flawedliterature,UNUSED,-1
thethoughtofthemind,UNUSED,-1
iwritetoinspire,UNUSED,-1
writers4life,UNUSED,-1
written-from-within,UNUSED,-1
storiesandpoemsclub,UNUSED,-1
live-learn-write,UNUSED,-1
openlit,UNUSED,-1
the-talented-writers,UNUSED,-1
literaturehideout,UNUSED,-1
writerslibrary,UNUSED,-1
writing-is-beautiful,UNUSED,-1
love-the-literature,UNUSED,-1
authors-universe,UNUSED,-1
thewritersroom,UNUSED,-1
passionforliterature,UNUSED,-1
literature-writing,UNUSED,-1
literature-series,UNUSED,-1
power-of-language,UNUSED,-1
the-joy-of-writing,UNUSED,-1
literature4ever,UNUSED,-1
painted-from-words,UNUSED,-1
pentopage,UNUSED,-1
youngwritersunite,UNUSED,-1
read-dream-write,UNUSED,-1
writingforeveryone,UNUSED,-1
writingcentral,UNUSED,-1
original-scribbles,UNUSED,-1
write4ursoul,UNUSED,-1
writingwarehouse,UNUSED,-1
united-artist-writer,UNUSED,-1
write-now,UNUSED,-1
writing-the-future,UNUSED,-1
writing-freedom,UNUSED,-1
writerstogether,UNUSED,-1
create-write-live,UNUSED,-1
nolimitwriting,UNUSED,-1
positivewriting,UNUSED,-1
the-love-of-writing,UNUSED,-1
