group_name,folder_name,folder_value
national-pokedex,UNUSED,-1
pokemon-fans-force,UNUSED,-1
pokemoncentre,UNUSED,-1
my-fair-pokemon,UNUSED,-1
pokemoncreativity,UNUSED,-1
pokemonkantojohto,UNUSED,-1
pokemonfreaks,UNUSED,-1
everythingpokemonart,UNUSED,-1
all-pokemon-stuff,UNUSED,-1
pokemon-paintings,UNUSED,-1
the-eevee-kingdom,UNUSED,-1
pkmn-fans-unite,UNUSED,-1
generation-pokemon,UNUSED,-1
eeveeclubforfans,UNUSED,-1
pokemon-fan--club,UNUSED,-1
pokenerds-united,UNUSED,-1
poke-lovers,UNUSED,-1
pokemondungeon,UNUSED,-1
pokemon-fans-group,UNUSED,-1
worldofpokemon,UNUSED,-1
pokemon-black-white,UNUSED,-1
pokepark-wonders,UNUSED,-1
pokesation,UNUSED,-1
hoenn-island,UNUSED,-1
pokemonplanet,UNUSED,-1
your-pokemon,UNUSED,-1
we-like-pokemon,UNUSED,-1
pokemon-domain,UNUSED,-1
pokemonwrestlingfans,UNUSED,-1
pokefanatics,UNUSED,-1
the-poke-animeclub,UNUSED,-1
pokemonfanclub1,UNUSED,-1
pokemon-forever,UNUSED,-1
poke-fanclub,UNUSED,-1
pokemon-all-around,UNUSED,-1
pokemonhereforever,UNUSED,-1
poke-group,UNUSED,-1
pokemon-fan-universe,UNUSED,-1
pokemon-fans4ever,UNUSED,-1
pokemonforeveryone,UNUSED,-1
pokemonfans,UNUSED,-1
pokemonmasters,UNUSED,-1
draw-em-all,UNUSED,-1
pokemon-fanbase,UNUSED,-1
pokemon-lovers4life,UNUSED,-1
pokemoninstitution,UNUSED,-1
pokemon-world-unite,UNUSED,-1
pokemonaddicts,UNUSED,-1
pokemonnowandforever,UNUSED,-1
hq,UNUSED,-1
give-llamageta-llama,UNUSED,-1
contest-hq,UNUSED,-1
clubforcontests,UNUSED,-1
weekly-contest-group,UNUSED,-1
anothercontestgroup,UNUSED,-1
giveallamagetallama,UNUSED,-1
unknownwriters,UNUSED,-1
flawedliterature,UNUSED,-1
thethoughtofthemind,UNUSED,-1
iwritetoinspire,UNUSED,-1
writers4life,UNUSED,-1
written-from-within,UNUSED,-1
storiesandpoemsclub,UNUSED,-1
live-learn-write,UNUSED,-1
openlit,UNUSED,-1
the-talented-writers,UNUSED,-1
literaturehideout,UNUSED,-1
writerslibrary,UNUSED,-1
writing-is-beautiful,UNUSED,-1
love-the-literature,UNUSED,-1
authors-universe,UNUSED,-1
thewritersroom,UNUSED,-1
passionforliterature,UNUSED,-1
literature-writing,UNUSED,-1
literature-series,UNUSED,-1
power-of-language,UNUSED,-1
the-joy-of-writing,UNUSED,-1
literature4ever,UNUSED,-1
painted-from-words,UNUSED,-1
pentopage,UNUSED,-1
youngwritersunite,UNUSED,-1
read-dream-write,UNUSED,-1
writingforeveryone,UNUSED,-1
writingcentral,UNUSED,-1
original-scribbles,UNUSED,-1
write4ursoul,UNUSED,-1
writingwarehouse,UNUSED,-1
united-artist-writer,UNUSED,-1
write-now,UNUSED,-1
writing-the-future,UNUSED,-1
writing-freedom,UNUSED,-1
writerstogether,UNUSED,-1
create-write-live,UNUSED,-1
nolimitwriting,UNUSED,-1
positivewriting,UNUSED,-1
the-love-of-writing,UNUSED,-1
wordsinourveins,UNUSED,-1
writingpros,UNUSED,-1
write-until-you-die,UNUSED,-1
words-of-war,UNUSED,-1
literary-expressions,UNUSED,-1
writers-pack,UNUSED,-1
lovers-in-lit,UNUSED,-1
just-write-it,UNUSED,-1
the-writing-exchange,UNUSED,-1
thestoryliveson,UNUSED,-1
wordflight,UNUSED,-1
writefromtheheart,UNUSED,-1
globalwriters,UNUSED,-1
writing-obsession,UNUSED,-1
emotionscollide,UNUSED,-1
words-to-the-world,UNUSED,-1
story-tellers,UNUSED,-1
artist-revolution,UNUSED,-1
the-write-group,UNUSED,-1
word-wit,UNUSED,-1
artist-exposure,UNUSED,-1
independent-writer,UNUSED,-1
escape-of-a-writer,UNUSED,-1
thewritersmeow,UNUSED,-1
fiction-writers,UNUSED,-1
love-original-lit,UNUSED,-1
thewriteplace,UNUSED,-1
write-write-on,UNUSED,-1
writing-central,UNUSED,-1
we-live-to-write,UNUSED,-1
writing-is-escapism,UNUSED,-1
fancifulwriters,UNUSED,-1
the-writers-study,UNUSED,-1
good-literature,UNUSED,-1
writtenexcellence,UNUSED,-1
literature-anonymous,UNUSED,-1
worthywriters,UNUSED,-1
literature-unleashed,UNUSED,-1
writers-welcome,UNUSED,-1
write-original,UNUSED,-1
authors-academy,UNUSED,-1
thelifeofwords,UNUSED,-1
live-to-write,UNUSED,-1
spotlightwriters,UNUSED,-1
fighttowrite,UNUSED,-1
ourstories,UNUSED,-1
ordinary-writing,UNUSED,-1
youfiction-haven,UNUSED,-1
theauthorcorner,UNUSED,-1
writing-to-live,UNUSED,-1
litlovers,UNUSED,-1
written-emotion,UNUSED,-1
short-stories,UNUSED,-1
writer-promotion,UNUSED,-1
aspiringwritersdojo,UNUSED,-1
xwritersutopiax,UNUSED,-1
half-way-there,UNUSED,-1
the-free-pens,UNUSED,-1
fantasyauthorsguild,UNUSED,-1
poetsandwriters,UNUSED,-1
unseen-authors,UNUSED,-1
live-love-write,UNUSED,-1
writing-condition,UNUSED,-1
writersforge,UNUSED,-1
storieswethinkup,UNUSED,-1
writing-writers,UNUSED,-1
literaturejunkies,UNUSED,-1
we-write-to-escape,UNUSED,-1
writeroomies,UNUSED,-1
write-away,UNUSED,-1
magicalliterature,UNUSED,-1
writing-rampage,UNUSED,-1
thescribblists,UNUSED,-1
writers-and-editors,UNUSED,-1
writingismyaddiction,UNUSED,-1
authors-club,UNUSED,-1
universal-writers,UNUSED,-1
thefictionnetwork,UNUSED,-1
the-creative-writer,UNUSED,-1
unseen-writers,UNUSED,-1
written-imagination,UNUSED,-1
